Nombre del anuncio,Resultados,Alcance,Impresiones,Coste_resultados,Importe_gastado,Dias_transcurridos,Clasificacion_descripcion,Lugar_descripcion,Objetivo_descripcion,Red_Social_descripcion,Name
24032201CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,2526,7925,8225,0.079319,200.36,4,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-27-mar-2024-27-mar-2024.xlsx
24032201CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,24329,93270,96611,0.085606,2082.72,3,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-28-mar-2024-28-mar-2024.xlsx
24032201CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,3317,10148,10753,0.080998,268.67,3,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-28-mar-2024-28-mar-2024.xlsx
24032201CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,2010,5316,5512,0.080189,161.18,3,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-28-mar-2024-28-mar-2024.xlsx
24032201CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,24187,81227,84239,0.087919,2126.49,1,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-30-mar-2024-30-mar-2024.xlsx
24032201CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,2355,7355,7759,0.088153,207.6,1,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-30-mar-2024-30-mar-2024.xlsx
24032201CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,1451,4044,4223,0.087712,127.27,1,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-30-mar-2024-30-mar-2024.xlsx
24032201CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,33137,77890,82513,0.072198,2392.43,0,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-31-mar-2024-31-mar-20242.xlsx
24032201CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,2745,5858,6108,0.070965,194.8,0,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-31-mar-2024-31-mar-20242.xlsx
24032201CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,1854,3809,4046,0.070469,130.65,0,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-31-mar-2024-31-mar-20242.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,4443,5950,6511,0.049586,220.31,29,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-01-abr-2024-1-abr-2024.xlsx
24040101CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,6026,8146,8696,0.049841,300.34,29,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-01-abr-2024-1-abr-2024.xlsx
24040101CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,32574,53778,59414,0.050149,1633.54,29,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-01-abr-2024-1-abr-2024.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,2139,3623,3894,0.059874,128.07,28,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-02-abr-2024-2-abr-2024.xlsx
24040101CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,3283,6206,6488,0.060527,198.71,28,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-02-abr-2024-2-abr-2024.xlsx
24040101CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,27499,57504,60777,0.06052,1664.24,28,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-02-abr-2024-2-abr-2024.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,1994,2960,3226,0.061921,123.47,27,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-03-abr-2024-3-abr-2024.xlsx
